;Sampl;Ind;Obs;S1;S2;Q1;Q2;Jack1ab;Jack1abP;Jack1in;Jack1inP;Jack2ab;Jack2abP;Jack2in;Jack2inP;Chao1;Chao1P;Chao2;Chao2P
StaBarbara;9;04/01/1900  10,16,00;14,01,00;0,172916667;2,39,00;6,15,00;3,33,00;17,07,00;19,08267521;19,47666667;23,5950412;19;20,55699045;21,99375;26,82505883;16,1542381;17,44952564;19,65065873;24,21321087
StaBarbara;10;118,64;0,629166667;0,170833333;2,05,00;6,04,00;3,58,00;18,32,00;19,60782322;20,096;23,85604987;19,48,00;20,91701875;22,38222222;26,73937042;16,76366667;17,97848585;19,82039286;23,86835174
StaBarbara;11;129,85;15,01,00;3,53,00;2,55,00;0,267361111;3,59,00;18,54,00;19,71548567;20,32818182;23,7552581;19,52,00;20,82624305;1,24375;26,42648034;16,9662619;18,07585227;19,79090873;23,43939575
StaBarbara;12;140,96;15,52,00;3,36,00;0,127083333;0,251388889;0,189583333;0,811111111;19,9272091;20,67166667;23,75210011;0,834027778;20,76457102;22,37772727;25,8922708;17,26442857;18,25400297;19,67487302;22,80008166
StaBarbara;13;06/01/1900  9,51,00;0,686805556;3,09,00;0,141666667;5,25,00;4,28,00;0,818055556;19,84084254;20,73615385;23,35975054;19,23,00;20,15920407;21,85871795;24,78964841;17,20466667;17,99514604;19,07014286;21,60052932
StaBarbara;14;06/01/1900  22,41,00;16,34,00;3,03,00;0,146527778;5,17,00;4,44,00;19,37,00;20,16802959;21,14071429;23,60278383;19,49,00;20,3431615;22,05917582;24,77829479;4,934027778;18,34612062;19,25358333;21,58154359
StaBarbara;15;178,67;0,709722222;0,135416667;3,11,00;0,222916667;0,2125;19,37,00;20,02453726;21,10933333;23,22827232;19,01,00;19,69369647;21,52780952;23,83630234;17,56569048;18,15948237;19,07351587;21,04904356
StaBarbara;16;07/01/1900  23,22,00;0,727777778;2,51,00;3,04,00;4,39,00;0,234722222;19,39,00;19,92485295;20,995625;22,71097071;0,809722222;19,41290062;20,769875;22,58982662;17,65278571;18,13794906;18,75292063;20,32240049
StaBarbara;17;201,77;17,12,00;2,25,00;3,08,00;4,12,00;0,232638889;19,37,00;19,79073622;20,99764706;22,47302586;18,54,00;18,9637454;20,53827206;22,0879562;17,64228571;18,0197918;18,75352778;20,09136105
StaBarbara;18;08/01/1900  22,25,00;17,44,00;2,11,00;0,152083333;0,191666667;0,227777778;19,55,00;19,91916998;21,18,00;22,53175809;0,796527778;19,03899006;20,61738562;22,03988707;17,8842619;18,21593506;18,9802381;20,20297917
StaBarbara;19;09/01/1900  8,27,00;17,59,00;0,102083333;0,147916667;0,168055556;0,229861111;19,46,00;19,74619337;21,01947368;22,10038931;18,04,00;18,68096513;20,10932749;21,2155513;17,90509524;18,16242588;18,76261905;19,72263016
StaBarbara;20;236,66;0,759722222;0,086805556;0,134027778;3,25,00;0,228472222;19,39,00;19,61689511;6,579861111;21,67341006;18,31,00;18,53489503;19,58313158;20,43755031;17,99792857;18,20372602;18,69203571;19,44964564
StaBarbara;21;10/01/1900  8,45,00;0,772916667;1,42,00;0,125694444;2,09,00;0,235416667;19,35,00;19,51146386;20,69190476;21,33644936;18,16,00;18,31747696;19,02669048;19,66083319;18,08116667;18,22849012;18,61589286;19,1936236
StaBarbara;22;10/01/1900  20,32,00;0,775;1,23,00;2,39,00;2,05,00;5,01,00;19,19,00;19,30395158;20,34636364;20,80948956;18,03,00;18,14000096;18,28142857;18,72552111;18,04,00;18,14483025;18,42290476;18,8399027
StaBarbara;23;273;18;1;2;2;5;19;19,05864198;19,91304348;20,15888352;18;18,05555556;17,38142292;17,59600839;18;18,05555556;18,16666667;18,3909465
